Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Disease
indigestion,loss of appetite,stomach pain,bloating,nausea,vomiting,Gastritis
persistent pain,loss of appetite,nausea,vomiting blood,unexplained weight loss,indigestion,Stomach Cancer
constipation,bloating,abdominal pain,mucus in stool,diarrhea,gas,Irritable Bowel Syndrome
vomiting,upper abdominal pain,nausea,rapid pulse,swollen abdomen,fever,Pancreatitis
vomiting,nausea,stomach pain,indigestion,bloating,loss of appetite,Gastritis
vomiting blood,persistent pain,nausea,loss of appetite,indigestion,unexplained weight loss,Stomach Cancer
hard stools,infrequent stools,straining,bloating,incomplete evacuation,abdominal pain,Constipation
indigestion,burning stomach pain,heartburn,bloating,weight loss,nausea,Peptic Ulcer
diarrhea,stomach pain,cramps,nausea,bloating,gas,Lactose Intolerance
vomiting blood,indigestion,persistent pain,loss of appetite,nausea,unexplained weight loss,Stomach Cancer
nausea,loss of appetite,vomiting blood,unexplained weight loss,persistent pain,indigestion,Stomach Cancer
gas,constipation,diarrhea,mucus in stool,abdominal pain,bloating,Irritable Bowel Syndrome
gas,bloating,mucus in stool,diarrhea,constipation,abdominal pain,Irritable Bowel Syndrome
vomiting,stomach pain,bloating,nausea,loss of appetite,indigestion,Gastritis
infrequent stools,bloating,abdominal pain,incomplete evacuation,hard stools,straining,Constipation
gas,bloating,diarrhea,constipation,abdominal pain,mucus in stool,Irritable Bowel Syndrome
mucus in stool,bloating,gas,abdominal pain,diarrhea,constipation,Irritable Bowel Syndrome
swollen abdomen,nausea,upper abdominal pain,rapid pulse,fever,vomiting,Pancreatitis
bitter taste,regurgitation,heartburn,dry cough,chest pain,trouble swallowing,Acid Reflux
trouble swallowing,chest pain,bitter taste,regurgitation,dry cough,heartburn,Acid Reflux
nausea,dehydration,vomiting,fever,stomach cramps,diarrhea,Food Poisoning
persistent pain,loss of appetite,indigestion,unexplained weight loss,vomiting blood,nausea,Stomach Cancer
stomach cramps,nausea,diarrhea,dehydration,fever,vomiting,Food Poisoning
bloating,gas,constipation,abdominal pain,mucus in stool,diarrhea,Irritable Bowel Syndrome
bloating,burning stomach pain,heartburn,indigestion,nausea,weight loss,Peptic Ulcer
bitter taste,heartburn,trouble swallowing,chest pain,regurgitation,dry cough,Acid Reflux
mucus in stool,diarrhea,gas,constipation,abdominal pain,bloating,Irritable Bowel Syndrome
shoulder pain,pain after eating,abdominal pain,indigestion,vomiting,nausea,Gallstones
regurgitation,dry cough,heartburn,trouble swallowing,chest pain,bitter taste,Acid Reflux
indigestion,nausea,weight loss,burning stomach pain,heartburn,bloating,Peptic Ulcer
loss of appetite,indigestion,bloating,vomiting,nausea,stomach pain,Gastritis
upper abdominal pain,fever,rapid pulse,swollen abdomen,nausea,vomiting,Pancreatitis
loss of appetite,vomiting blood,nausea,persistent pain,indigestion,unexplained weight loss,Stomach Cancer
fever,swollen abdomen,upper abdominal pain,rapid pulse,vomiting,nausea,Pancreatitis
bloating,loss of appetite,indigestion,stomach pain,vomiting,nausea,Gastritis
diarrhea,nausea,gas,cramps,stomach pain,bloating,Lactose Intolerance
straining,infrequent stools,incomplete evacuation,bloating,hard stools,abdominal pain,Constipation
fever,diarrhea,nausea,vomiting,dehydration,stomach cramps,Food Poisoning
nausea,persistent pain,vomiting blood,indigestion,unexplained weight loss,loss of appetite,Stomach Cancer
nausea,stomach pain,loss of appetite,vomiting,bloating,indigestion,Gastritis
cramps,diarrhea,nausea,stomach pain,bloating,gas,Lactose Intolerance
indigestion,unexplained weight loss,loss of appetite,persistent pain,vomiting blood,nausea,Stomach Cancer
incomplete evacuation,straining,abdominal pain,bloating,hard stools,infrequent stools,Constipation
loss of appetite,nausea,indigestion,stomach pain,bloating,vomiting,Gastritis
nausea,upper abdominal pain,swollen abdomen,fever,rapid pulse,vomiting,Pancreatitis
indigestion,nausea,weight loss,burning stomach pain,bloating,heartburn,Peptic Ulcer
swollen abdomen,upper abdominal pain,rapid pulse,vomiting,nausea,fever,Pancreatitis
abdominal pain,pain after eating,shoulder pain,nausea,indigestion,vomiting,Gallstones
stomach pain,nausea,gas,cramps,diarrhea,bloating,Lactose Intolerance
bitter taste,dry cough,chest pain,regurgitation,heartburn,trouble swallowing,Acid Reflux
dry cough,chest pain,regurgitation,bitter taste,heartburn,trouble swallowing,Acid Reflux
unexplained weight loss,indigestion,persistent pain,vomiting blood,nausea,loss of appetite,Stomach Cancer
indigestion,burning stomach pain,heartburn,weight loss,nausea,bloating,Peptic Ulcer
vomiting,swollen abdomen,upper abdominal pain,fever,rapid pulse,nausea,Pancreatitis
